section	status	path	disk_size	hist_size	ratio	notes
B_REGRESSION	OK	tools\burp_enterprise\decision_orchestrator.py	207168	207168	1.0	
B_REGRESSION	REGRESSION	tools\burp_enterprise\inference\model_management\model_cli.py	19747	7683	2.57	__all__
B_REGRESSION	REGRESSION	tools\burp_enterprise\inference\model_management\model_benchmarker.py	23590	9464	2.493	__all__
B_REGRESSION	OK	tests\test_organism_health_gaps.py	30712	17085	1.798	
B_REGRESSION	OK	tools\burp_enterprise\intel\github_client_base.py	16707	6388	2.615	
B_REGRESSION	OK	tools\burp_enterprise\output\findings_formatter.py	15947	15947	1.0	
B_REGRESSION	OK	tools\burp_enterprise\mcp\mcp_server.py	48081	48081	1.0	
B_REGRESSION	OK	tools\burp_enterprise\agents\bayesian_prioritizer.py	26313	26313	1.0	
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/__init__.py	8132	88768	0.092	only_hist=0
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/inference/gpu_governor.py	8770	54091	0.162	only_hist=36
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/weight_tuner.py	15319	79190	0.193	only_hist=27
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/reasoning/prompt_chains.py	16706	66776	0.25	only_hist=40
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/payload_arbiter.py	20585	81808	0.252	only_hist=57
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/agents/llm_bridge.py	73075	257834	0.283	only_hist=48
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/payload_synthesis_engine.py	13445	44077	0.305	only_hist=21
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/inference/model_manager.py	9232	28690	0.322	only_hist=15
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/tool_registry/fallback.py	6938	21369	0.325	only_hist=10
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/tool_registry/registry.py	16764	47151	0.356	only_hist=24
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/inference/model_management/vram_selector.py	7671	19414	0.395	only_hist=5
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/execution_scheduler.py	7956	18702	0.425	only_hist=6
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/database/data_migration.py	11022	25239	0.437	only_hist=16
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/inference/grammar.py	7377	16688	0.442	only_hist=15
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/tool_registry/action_translator.py	8777	19531	0.449	only_hist=12
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/failure_pattern.py	10508	22365	0.47	only_hist=3
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/memory/vector_index.py	10164	21199	0.479	only_hist=16
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/reasoning/context_budget.py	11548	22121	0.522	only_hist=20
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/hypothesis_engine.py	36976	70338	0.526	only_hist=18
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_feedback.py	14808	27958	0.53	only_hist=17
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_context.py	22505	42242	0.533	only_hist=15
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/inference/model_management/finetune_exporter.py	11879	21405	0.555	only_hist=6
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/exploit_chains/grammar_synthesizer.py	30328	52847	0.574	only_hist=35
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/reasoning/hypothesis_manager.py	15619	27162	0.575	only_hist=20
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/inference/model_management/model_registry.py	14323	24525	0.584	only_hist=13
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/tool_registry/output_parsers.py	27311	45570	0.599	only_hist=45
C_REFACTORED	MISSING	CaseCrack/tools/burp_enterprise/inference/model_management/model_downloader.py	11632	19145	0.608	only_hist=4
