verdict	only_hist	only_disk	disk_size	hist_size	rel_path	snapshot	strategy	hist_uri
PURE_REGRESSION	130	0	25983	259823	CaseCrack/tools/burp_enterprise/caap/exploitation_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\b4f408b\WYFs.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/exploitation_engine.py
PURE_REGRESSION	118	0	45257	179609	CaseCrack/tools/burp_enterprise/intel/vulnerability_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4ee3b7d0\6c9f.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/vulnerability_intelligence.py
PURE_REGRESSION	5	0	147393	166649	CaseCrack/tools/burp_enterprise/agents/agent_loop.py	C:\Users\ya754\AppData\Roaming\Code\User\History\11489f5d\uII7.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/agents/agent_loop.py
PURE_REGRESSION	4	0	130538	149708	CaseCrack/tools/burp_enterprise/agents/copilot_loop.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1de60ddc\f2sP.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/agents/copilot_loop.py
PURE_REGRESSION	9	0	99637	113895	CaseCrack/tools/burp_enterprise/agents/agent_memory.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-a91aa0\2Uay.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/agents/agent_memory.py
PURE_REGRESSION	15	0	95494	106449	CaseCrack/tools/burp_enterprise/event_bus.py	C:\Users\ya754\AppData\Roaming\Code\User\History\b1c61c1\BKtK.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/event_bus.py
PURE_REGRESSION	7	0	88501	98554	CaseCrack/tools/burp_enterprise/agents/goal_planner.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-33a92214\ztB6.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/goal_planner.py
PURE_REGRESSION	7	0	66228	82689	CaseCrack/tools/burp_enterprise/agents/attack_reasoning.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1337ca8c\wOmy.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/agents/attack_reasoning.py
PURE_REGRESSION	11	0	60382	76280	CaseCrack/tools/burp_enterprise/pipeline/full_scan_orchestrator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\c954133\ebuE.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/pipeline/full_scan_orchestrator.py
PURE_REGRESSION	4	0	65927	73527	CaseCrack/tools/burp_enterprise/agents/agent_sessions.py	C:\Users\ya754\AppData\Roaming\Code\User\History\320c31c4\bgk7.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/agents/agent_sessions.py
