verdict	only_hist	only_disk	disk_size	hist_size	rel_path	snapshot	hist_uri	disk_only_syms
REFACTORED	48	58	73075	257834	CaseCrack/tools/burp_enterprise/agents/llm_bridge.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6532e0c0\wbiO.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/agents/llm_bridge.py	Analysis|Analysis.to_dict|AnthropicClient|AnthropicClient.__init__|AnthropicClient.complete
REFACTORED	17	1	68800	100011	CaseCrack/tools/burp_enterprise/learning_loop_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7c838736\Uhkc.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/learning_loop_engine.py	StrategyEvolver.evolve_exploitation_paths
REFACTORED	0	4	8132	88768	CaseCrack/tools/burp_enterprise/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	file:///c:/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py	__getattr__|_lazy_registry|get_recovered_modules|register_with_orchestrator
REFACTORED	57	11	20585	81808	CaseCrack/tools/burp_enterprise/exploit_chains/payload_arbiter.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6f3a78fd\dlFG.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/payload_arbiter.py	PayloadArbiter._score_payload|_DESTRUCTIVE_PATTERNS|_LOCAL_HOSTS|_OBFUSCATION_PATTERNS|_PRIVATE_PREFIXES
REFACTORED	27	3	15319	79190	CaseCrack/tools/burp_enterprise/exploit_chains/weight_tuner.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6e057ee0\X8Q1.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/weight_tuner.py	WeightTuner._extract_observation|_NEGATIVE_SIGNALS|_POSITIVE_SIGNALS
REFACTORED	18	15	36976	70338	CaseCrack/tools/burp_enterprise/hypothesis_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\64279997\MbGW.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/hypothesis_engine.py	HypothesisEngine._amplification_for|HypothesisEngine._get_or_create|HypothesisEngine._interaction_lookup|HypothesisEngine._prune_expired_boosts|HypothesisEngine._update_extreme_metrics
REFACTORED	28	49	54146	67615	CaseCrack/tools/burp_enterprise/agents/advanced_agent_patterns.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-73a8cea7\93xQ.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/agents/advanced_agent_patterns.py	AgentConfigValidator|AgentConfigValidator.__init__|AgentConfigValidator.get_stats|AgentConfigValidator.validate|AgentMemoryCompactor
REFACTORED	40	15	16706	66776	CaseCrack/tools/burp_enterprise/reasoning/prompt_chains.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-21530720\34xb.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/reasoning/prompt_chains.py	ChainResult.get_step|ChainResult.success|DAGNode|DAGTraceEntry|PromptChainDAGExecutor
REFACTORED	36	7	8770	54091	CaseCrack/tools/burp_enterprise/inference/gpu_governor.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-321de56d\4cUG.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/gpu_governor.py	GPUGovernor._discover_nvidia_smi|GPUGovernor._discover_windows_wmic|GPUGovernor.allocate|GPUGovernor.discover|GPUGovernor.release
REFACTORED	35	16	30328	52847	CaseCrack/tools/burp_enterprise/exploit_chains/grammar_synthesizer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\729d304b\0dqL.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/grammar_synthesizer.py	SQLiGrammar._dialect_payloads|SQLiGrammar._position_payloads|XSSGrammar._attr_name_payloads|XSSGrammar._attr_value_payloads|XSSGrammar._comment_payloads
