refs	hist_size	rel_path	snapshot
0	222052	CaseCrack\tools\burp_enterprise\compliance.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4d6d17\wdcY.py
0	199833	CaseCrack\tools\burp_enterprise\agent_roles.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6c2949d9\IwkQ.py
0	142386	CaseCrack\tools\burp_enterprise\validation_fleet.py	C:\Users\ya754\AppData\Roaming\Code\User\History\37fa9fca\jA4I.py
0	117190	CaseCrack\tools\burp_enterprise\persistent_agent.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3a85d9ab\mpU6.py
0	103728	CaseCrack\tools\burp_enterprise\agent_roles_clean.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7bad2d31\guOh.py
0	98427	CaseCrack\tools\burp_enterprise\agents\llm_clients.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-25e0443\WJ2G.py
0	87050	CaseCrack\_write_agent_roles_v2.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-74244ccf\hhRK.py
0	81580	CaseCrack\tools\burp_enterprise\world_model.py	C:\Users\ya754\AppData\Roaming\Code\User\History\29e5ec00\5sjQ.py
0	79593	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-f9888bf\rp9s.py
0	78823	CaseCrack\tools\burp_enterprise\agents\llm_production.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1a7edc90\MBEQ.py
0	72880	CaseCrack\tools\burp_enterprise\confidence_ensemble.py	C:\Users\ya754\AppData\Roaming\Code\User\History\204d40de\eWVd.py
0	70098	CaseCrack\tools\burp_enterprise\multi_agent_debate.py	C:\Users\ya754\AppData\Roaming\Code\User\History\78b843c1\uilG.py
0	69070	CaseCrack\tools\burp_enterprise\lookahead_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-71fed82d\sGDP.py
0	68261	CaseCrack\tools\burp_enterprise\self_healing.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1f67efeb\zbeF.py
0	67936	CaseCrack\tools\burp_enterprise\agents\anthropic_patterns.py	C:\Users\ya754\AppData\Roaming\Code\User\History\382395a5\dEId.py
0	66563	CaseCrack\tools\burp_enterprise\adversarial_validation_agent.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6bc88c04\WXik.py
0	65549	CaseCrack\ctemp\_e3_wave.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7fc96f63\7qmb.py
0	64681	CaseCrack\_write_agent_roles.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-56064e9e\Mn7y.py
0	62222	CaseCrack\ctemp\_e3_wave_v2.py	C:\Users\ya754\AppData\Roaming\Code\User\History\60ba990\vDsx.py
0	59167	CaseCrack\tools\burp_enterprise\persona_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1110e4c3\qL4o.py
0	57254	CaseCrack\tools\burp_enterprise\agents\llm_ops.py	C:\Users\ya754\AppData\Roaming\Code\User\History\29e851d3\QTWg.py
0	55945	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_vuln_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7db546fa\RbrS.py
0	55753	CaseCrack\tools\burp_enterprise\target_mental_model.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3da23445\gY7p.py
0	54484	CaseCrack\tools\burp_enterprise\xss.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2bb45ee4\xY2S.py
0	53930	CaseCrack\tools\burp_enterprise\strategic_llm_layer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-8b68a4\8rIq.py
0	53753	CaseCrack\tools\burp_enterprise\hierarchical_decomposition.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1b72bbdf\olhY.py
0	53653	CaseCrack\tools\burp_enterprise\tool_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7888c9ca\z00i.py
0	50840	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_agents.py	C:\Users\ya754\AppData\Roaming\Code\User\History\67442ff5\SDR1.py
0	50440	CaseCrack\tools\burp_enterprise\agents\rag_context.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-56689755\RCci.py
0	49317	CaseCrack\tools\burp_enterprise\memory_control.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5831113\0MOV.py
0	48418	CaseCrack\tools\burp_enterprise\frontier_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-18b4bd5\fvdi.py
0	47788	CaseCrack\tools\burp_enterprise\verification_chain.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-275084ab\jd1z.py
0	47653	CaseCrack\tools\burp_enterprise\database\pg_schema.py	C:\Users\ya754\AppData\Roaming\Code\User\History\359a069d\fnov.py
0	46493	CaseCrack\ctemp\_eg_upgrade.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-66c85fe\Wiue.py
0	45827	CaseCrack\tools\burp_enterprise\symbolic_fallback.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bfb3833\OC0A.py
0	45178	CaseCrack\tools\burp_enterprise\agents\ab_testing.py	C:\Users\ya754\AppData\Roaming\Code\User\History\31a47289\TED4.py
0	44433	CaseCrack\tools\burp_enterprise\prompt_registry.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-63c8947c\q7dO.py
0	44260	CaseCrack\tools\burp_enterprise\agents\native_tool_calling.py	C:\Users\ya754\AppData\Roaming\Code\User\History\25806bce\5YIi.py
0	43862	CaseCrack\tools\burp_enterprise\decision_trace.py	C:\Users\ya754\AppData\Roaming\Code\User\History\46261730\rlMU.py
0	43521	CaseCrack\tools\burp_enterprise\architecture_evolver.py	C:\Users\ya754\AppData\Roaming\Code\User\History\434b7d09\bR37.py
0	43328	CaseCrack\tools\burp_enterprise\agents\llm_routing.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-619bfc1\QOuk.py
0	42865	CaseCrack\tools\burp_enterprise\decision_plane.py	C:\Users\ya754\AppData\Roaming\Code\User\History\69d702b9\K5KG.py
0	42666	CaseCrack\tools\burp_enterprise\production_subsystems.py	C:\Users\ya754\AppData\Roaming\Code\User\History\525e6a12\Vw1u.py
0	42577	CaseCrack\ctemp\_e2_wave.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-147aff9e\0n0Q.py
0	42268	CaseCrack\tools\burp_enterprise\agents\reactive_compaction.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7f9984b8\9CfT.py
0	42027	CaseCrack\tools\burp_enterprise\confidence_diversity.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5c93d0ee\Zcs9.py
0	41775	CaseCrack\tools\burp_enterprise\defender_adversary_model.py	C:\Users\ya754\AppData\Roaming\Code\User\History\36ca572f\U8Wl.py
0	41116	CaseCrack\tools\burp_enterprise\agents\llm_output_guard.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3149fc22\1hiY.py
0	40103	CaseCrack\tools\burp_enterprise\agents\doubt_injector.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1bf7f69c\QoUK.py
0	39151	CaseCrack\tools\burp_enterprise\event_driven_wakeup.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-43d74239\g4i1.py
0	38277	CaseCrack\tools\burp_enterprise\agents\feedback_learning.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6f860065\sRdV.py
0	37382	CaseCrack\tools\burp_enterprise\agents\llm_adaptive.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-160b99cd\vFPQ.py
0	36671	CaseCrack\tests\scenarios\framework.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6c066adc\IxgD.py
0	34478	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5d4f770\m99s.py
0	33425	CaseCrack\tools\burp_enterprise\loop\feedback_loop_breaker.py	C:\Users\ya754\AppData\Roaming\Code\User\History\84cfc72\ZQfn.py
0	33235	CaseCrack\tools\burp_enterprise\few_shot_selector.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-34745641\Kzgv.py
0	33168	CaseCrack\tools\burp_enterprise\causal_bridge.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-9b19145\wVDa.py
0	32402	CaseCrack\tools\burp_enterprise\strategy_horizon_optimizer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5af4712d\DroA.py
0	32317	CaseCrack\tools\burp_enterprise\agents\proactive_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7d6b7e50\R1qu.py
0	31291	CaseCrack\ctemp\fix134_rewrite_tests.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3434b2de\2JeM.py
0	30523	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_discovery_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\31da081f\3EOT.py
0	30292	CaseCrack\tools\burp_enterprise\signal_contracts.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6fce71c8\RHQI.py
0	30114	CaseCrack\_production_audit.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4d6475d4\H9xa.py
0	29753	CaseCrack\tools\burp_enterprise\transfer_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1a995409\BwCR.py
0	29734	CaseCrack\_test_cross_scanner_validation.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-600b18a1\VHrN.py
0	29457	CaseCrack\tools\burp_enterprise\graph\multi_agent\supervisor_clean.py	C:\Users\ya754\AppData\Roaming\Code\User\History\e55f7cf\flEb.py
0	28769	CaseCrack\tools\burp_enterprise\agents\streaming_structured.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7aca953\M1fE.py
0	28641	CaseCrack\tools\burp_enterprise\operator_trust_dashboard.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-75279940\73eI.py
0	27227	CaseCrack\tools\burp_enterprise\inference\setup_local_llm.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6b6e2e7b\tnHI.py
0	26243	CaseCrack\tests\test_xss_scanner_comprehensive.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-2db7e4c7\dwFo.py
0	25354	CaseCrack\tools\burp_enterprise\exploit_chains\learning_bridge.py	C:\Users\ya754\AppData\Roaming\Code\User\History\72ef5531\r1An.py
0	25269	CaseCrack\tools\burp_enterprise\progressive_prompts.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6f65d801\6stt.py
0	24763	CaseCrack\tools\burp_enterprise\agents\llm_tracing.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-19b013d\BL1b.py
0	24684	CaseCrack\tools\burp_enterprise\counterfactual_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6d10718d\Xqjf.py
0	24508	CaseCrack\tools\burp_enterprise\ml_feedback_propagator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-625f0207\m30y.py
0	24198	CaseCrack\tools\burp_enterprise\agents\llm_cache.py	C:\Users\ya754\AppData\Roaming\Code\User\History\40ed5383\9sth.py
0	23895	CaseCrack\tools\burp_enterprise\database\pg_manager.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2d2ca3a3\5nu8.py
0	23648	CaseCrack\_decompose_generate.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-383be09a\WwnL.py
0	23553	CaseCrack\tools\burp_enterprise\inference\ollama_backend.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3043f101\1CCT.py
0	23128	CaseCrack\_restructure_flat_dir.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1f1d4883\eZdc.py
0	22059	CaseCrack\tools\burp_enterprise\outcome_narrative_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\625a7656\MQpD.py
0	22002	CaseCrack\tools\burp_enterprise\mcp\cognitive_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-17b11325\gugz.py
0	21933	CaseCrack\tools\burp_enterprise\agents\llm_hardware_adapter.py	C:\Users\ya754\AppData\Roaming\Code\User\History\356a1b71\oMng.py
0	21714	CaseCrack\tools\burp_enterprise\agents\redis_cache.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4a479e4b\hlC4.py
0	21713	CaseCrack\tools\burp_enterprise\decision_quality_evaluator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2bbf6246\O4GH.py
0	21328	CaseCrack\tools\burp_enterprise\agents\prompt_budget.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-37caa74d\5ImU.py
0	19518	CaseCrack\tools\burp_enterprise\database\redis_manager.py	C:\Users\ya754\AppData\Roaming\Code\User\History\ba1971d\DEGq.py
0	19097	CaseCrack\tools\burp_enterprise\action_rationale_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-79cf5c17\Gusp.py
0	18551	CaseCrack\test_p0_integration_wiring.py	C:\Users\ya754\AppData\Roaming\Code\User\History\524950e7\h89i.py
0	18463	CaseCrack\_narrow_all_exceptions.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-752fcba1\TnfU.py
0	18392	CaseCrack\test_missing_integrations_b3.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6650ddbb\T4q8.py
0	18280	CaseCrack\tools\burp_enterprise\database\hybrid_backend.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-20b44a49\KKlw.py
0	18216	CaseCrack\_test_chain_identity_v36.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-15db605e\XDaz.py
0	17807	CaseCrack\tools\burp_enterprise\inference\llama_backend.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-54b5b358\hcuy.py
0	17730	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_infra_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-462d2601\oG2x.py
0	17624	CaseCrack\tools\burp_enterprise\osint_providers\securitytrails_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4d567880\j0oQ.py
0	17313	CaseCrack\tools\burp_enterprise\qtable_advisor.py	C:\Users\ya754\AppData\Roaming\Code\User\History\53900554\sSXW.py
0	17187	CaseCrack\_decompose_v1.py	C:\Users\ya754\AppData\Roaming\Code\User\History\b1e43a0\4SBu.py
0	16770	CaseCrack\tools\burp_enterprise\thinking_budget.py	C:\Users\ya754\AppData\Roaming\Code\User\History\c04a208\Ygat.py
0	16739	CaseCrack\_extract_m5.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-569e735d\4lFy.py
0	16149	CaseCrack\_test_p7_delegate.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3ce1f807\XCzk.py
0	16145	CaseCrack\_wire_modules.py	C:\Users\ya754\AppData\Roaming\Code\User\History\36cca2dc\oujc.py
0	16116	CaseCrack\ctemp\_e1_6_fix.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-541bc138\MnbD.py
0	15608	CaseCrack\_test_sdk_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7df77431\tdln.py
0	15605	CaseCrack\ctemp\split_vuln_intel.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-29df6bcf\WuIE.py
0	15387	CaseCrack\_test_production_fixes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\64e1691b\HluO.py
0	15357	CaseCrack\tools\burp_enterprise\operator_feedback.py	C:\Users\ya754\AppData\Roaming\Code\User\History\128d6d3c\dR9i.py
0	14872	CaseCrack\tests\scenarios\run_all_scenarios.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2b03d431\GtVf.py
0	14529	CaseCrack\_instrument_silent_exceptions.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3b4725cd\Ibkx.py
0	14323	CaseCrack\tests\test_xss_module.py	C:\Users\ya754\AppData\Roaming\Code\User\History\18398a36\BLLu.py
0	13940	CaseCrack\tools\burp_enterprise\agents\finding_dedup.py	C:\Users\ya754\AppData\Roaming\Code\User\History\84cd08b\RPFb.py
0	13682	CaseCrack\_patch_caap_round4.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6056111c\RoTH.py
0	13569	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_intel_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1514adb9\82gu.py
0	13105	CaseCrack\_fix_silent_exceptions.py	C:\Users\ya754\AppData\Roaming\Code\User\History\635db0e1\sNS5.py
0	12863	CaseCrack\tools\burp_enterprise\signal_tracer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6095b348\4sbb.py
0	12763	CaseCrack\_test_priority5.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3df60125\1PmV.py
0	12706	CaseCrack\_fix_jsluice_provider.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-2caeb778\ETdI.py
0	12635	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_exploit_cloud_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3a7b686e\dE1o.py
0	12417	CaseCrack\_wire_state_modules.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-2fe999b6\kG1T.py
0	12006	CaseCrack\ctemp\_fix_silent_exceptions.py	C:\Users\ya754\AppData\Roaming\Code\User\History\fb27049\Xmxy.py
0	11959	CaseCrack\test_missing_integrations_b2.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6650695c\qeSd.py
0	11833	CaseCrack\test_phases.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-2b3a2e7d\VGuW.py
0	11831	CaseCrack\tools\burp_enterprise\osint_providers\hackertarget_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\56ab1bb2\eLl8.py
0	11650	CaseCrack\_apply_scanner_fixes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\154c08d4\Ggqt.py
0	11266	CaseCrack\_apply_except_fixes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4d9d017b\wQMC.py
0	11060	CaseCrack\_disk_cleanup.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-554cb979\kqFr.py
0	10962	CaseCrack\tools\burp_enterprise\agents\llm_shutdown.py	C:\Users\ya754\AppData\Roaming\Code\User\History\23f7aa53\R7QI.py
0	10707	CaseCrack\fix_bare_except.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1ce5ee2c\v9bo.py
0	10430	CaseCrack\test_captcha_bypass.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4961f692\E91Z.py
0	10253	CaseCrack\_fix_broad_exceptions.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4c0c631e\qmKU.py
0	10241	CaseCrack\ctemp\_e1_6_collapsible.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1800b4b3\XM5I.py
0	10104	CaseCrack\tests\test_config_watcher_comprehensive.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3782560b\u7ji.py
0	10098	CaseCrack\_fix_broad_exceptions_v2.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2954d7f5\60Ba.py
0	9951	CaseCrack\_test_sdk_improvements.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-65cea6ca\xAYH.py
0	9916	CaseCrack\_test_production.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4b7b5fe1\h3mc.py
0	9632	CaseCrack\_test_secrets_fp.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-2773750e\mGb0.py
0	9630	CaseCrack\tools\burp_enterprise\osint_providers\hunterio_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1a15a7f9\e5Kd.py
0	9551	CaseCrack\tools\burp_enterprise\core_infra\production_utils.py	C:\Users\ya754\AppData\Roaming\Code\User\History\147b9ad2\MNVH.py
0	9050	CaseCrack\tools\burp_enterprise\osint_providers\netlas_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\249bfdf4\rPBC.py
0	8991	CaseCrack\_smoke_synthesis_context.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1f5834f\RwDa.py
0	8769	CaseCrack\_production_audit_final.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7f49603d\jiQM.py
0	8670	CaseCrack\tools\burp_enterprise\config_watcher.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1153c8d\Kwzn.py
0	8630	CaseCrack\test_missing_integrations.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-727a5a7d\ikEN.py
0	8599	CaseCrack\_fix7_pipeline.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6783a7fa\hEqQ.py
0	8585	CaseCrack\fix_hanging_tests.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-14675820\yY41.py
0	8534	CaseCrack\_do_wire_delegators.py	C:\Users\ya754\AppData\Roaming\Code\User\History\16e77e33\hvQ3.py
0	8402	CaseCrack\_insert_handlers.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7cbc84d6\5TY4.py
0	8251	CaseCrack\tools\burp_enterprise\osint_providers\whoxy_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\405686\RuGv.py
0	8203	CaseCrack\_codebase_analysis.py	C:\Users\ya754\AppData\Roaming\Code\User\History\a068c08\3b7E.py
0	8183	CaseCrack\ctemp\split_exploitation.py	C:\Users\ya754\AppData\Roaming\Code\User\History\531ccdbf\hVGI.py
0	7832	CaseCrack\tools\burp_enterprise\agents\llm_registry.py	C:\Users\ya754\AppData\Roaming\Code\User\History\418fe30c\E9rb.py
0	7753	CaseCrack\seed_test_data.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2fc985fd\Y9Gk.py
0	7398	CaseCrack\_test_priority3.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3df51867\Eg3r.py
0	7340	CaseCrack\_narrow_exceptions.py	C:\Users\ya754\AppData\Roaming\Code\User\History\cdc8b7d\EIHX.py
0	7328	CaseCrack\_validate_fixes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-5fba8a11\igKr.py
0	7318	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_tool_registry.py	C:\Users\ya754\AppData\Roaming\Code\User\History\8fdcda7\7yxg.py
0	7219	CaseCrack\_test_ops.py	C:\Users\ya754\AppData\Roaming\Code\User\History\56f2e124\RzGf.py
0	7055	CaseCrack\ctemp\_e1_3_heroes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\31649946\XXlP.py
0	7024	CaseCrack\tools\burp_enterprise\osint_providers\dehashed_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-731b54bf\5Znh.py
0	6980	CaseCrack\_patch_agent.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5432d457\eoMR.py
0	6937	CaseCrack\_fix_mypy.py	C:\Users\ya754\AppData\Roaming\Code\User\History\591ec9ca\wza8.py
0	6813	CaseCrack\_test_fixes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\58188ef3\RGxn.py
0	6454	CaseCrack\tools\burp_enterprise\osint_providers\fofa_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\74176c17\XG0H.py
0	6241	CaseCrack\_verify_candidates.py	C:\Users\ya754\AppData\Roaming\Code\User\History\28a60a4f\tP9s.py
0	6109	CaseCrack\_extract_m6.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-569dfefe\fSq4.py
0	6077	CaseCrack\_deep_audit.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3442977f\qZr9.py
0	5954	CaseCrack\_narrow_crawler.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-45bdf5e7\0vx5.py
0	5940	CaseCrack\_test_degraded_cmds.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5b45912c\6EyG.py
0	5718	CaseCrack\ctemp\_fix_mojibake.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4b0b7fc3\7iF9.py
0	5690	CaseCrack\_disk_audit.py	C:\Users\ya754\AppData\Roaming\Code\User\History\49968ef0\uTo4.py
0	5481	CaseCrack\_diag_secrets.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-5e727d86\mpGx.py
0	5473	CaseCrack\_narrow_dns.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1c62bee4\Qi8V.py
0	5347	CaseCrack\ctemp\_scan_mojibake2.py	C:\Users\ya754\AppData\Roaming\Code\User\History\766ed0ab\yRcU.py
0	5288	CaseCrack\_sprint6_smoke.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-29ee067\1VLE.py
0	5267	CaseCrack\_fix_approve.py	C:\Users\ya754\AppData\Roaming\Code\User\History\58eec762\i2eS.py
0	5175	CaseCrack\scripts\_fix_ci_mypy.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1661741a\2mXt.py
0	5154	CaseCrack\_test_fp_fixes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-263d1ed6\I31U.py
0	5131	CaseCrack\_test_deadlock_fixes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3627c745\dBdX.py
0	5104	CaseCrack\_sprint6_inject.py	C:\Users\ya754\AppData\Roaming\Code\User\History\393e18f5\bDYu.py
0	5099	CaseCrack\ctemp\build_init.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5bdb348d\GCdq.py
0	5035	CaseCrack\tools\burp_enterprise\osint_providers\chaos_client.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2d56ad87\dSgp.py
0	5027	CaseCrack\split_recon.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-70093302\OAhm.py
