type	size_snap	size_cur	path	snapshot
MISSING	255150	0	CaseCrack\tools\burp_enterprise\recon_dashboard.py	C:\Users\ya754\AppData\Roaming\Code\User\History\417a6ff8\HZZz.py
MISSING	222052	0	CaseCrack\tools\burp_enterprise\compliance.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4d6d17\wdcY.py
MISSING	199690	0	CaseCrack\tools\burp_enterprise\agent_roles.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6c2949d9\0AZl.py
MISSING	169295	0	CaseCrack\tools\burp_enterprise\recon_dashboard\multi_request_validator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4403b6cb\qfEh.py
MISSING	154964	0	CaseCrack\tools\burp_enterprise\loop\autonomous_loop.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5a3c7faa\VdtT.py
MISSING	142386	0	CaseCrack\tools\burp_enterprise\validation_fleet.py	C:\Users\ya754\AppData\Roaming\Code\User\History\37fa9fca\jA4I.py
MISSING	117190	0	CaseCrack\tools\burp_enterprise\persistent_agent.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3a85d9ab\mpU6.py
MISSING	109476	0	CaseCrack\tools\burp_enterprise\recon_dashboard\bounty_ops.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-5b6c9ed7\6WPu.py
MISSING	106469	0	CaseCrack\tools\burp_enterprise\recon_dashboard\authenticated_exploit_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3b558bc1\K7GD.py
MISSING	103728	0	CaseCrack\tools\burp_enterprise\agent_roles_clean.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7bad2d31\guOh.py
MISSING	98427	0	CaseCrack\tools\burp_enterprise\agents\llm_clients.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-25e0443\WJ2G.py
MISSING	96482	0	CaseCrack\tools\burp_enterprise\recon_dashboard\truth_enforcement.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-54647b85\JEaQ.py
MISSING	95948	0	CaseCrack\tools\burp_enterprise\production_gaps.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5a466839\McPl.py
MISSING	87050	0	CaseCrack\_write_agent_roles_v2.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-74244ccf\hhRK.py
MISSING	81580	0	CaseCrack\tools\burp_enterprise\world_model.py	C:\Users\ya754\AppData\Roaming\Code\User\History\29e5ec00\5sjQ.py
MISSING	79905	0	CaseCrack\tools\burp_enterprise\recon_dashboard\impact_amplifier.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1c721ab1\9qRw.py
MISSING	79593	0	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-f9888bf\rp9s.py
MISSING	78823	0	CaseCrack\tools\burp_enterprise\agents\llm_production.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1a7edc90\MBEQ.py
MISSING	78267	0	CaseCrack\tools\burp_enterprise\exploit_chains\manual_audit_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\12ae87dc\ZTEQ.py
MISSING	78137	0	CaseCrack\tools\burp_enterprise\session_auth\session_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5d7222d6\S5Kg.py
MISSING	75312	0	CaseCrack\tools\burp_enterprise\exploit_chains\system_audit_harness.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4a7d40c9\Sh1o.py
MISSING	72880	0	CaseCrack\tools\burp_enterprise\confidence_ensemble.py	C:\Users\ya754\AppData\Roaming\Code\User\History\204d40de\eWVd.py
MISSING	70098	0	CaseCrack\tools\burp_enterprise\multi_agent_debate.py	C:\Users\ya754\AppData\Roaming\Code\User\History\78b843c1\uilG.py
MISSING	69070	0	CaseCrack\tools\burp_enterprise\lookahead_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-71fed82d\sGDP.py
MISSING	68261	0	CaseCrack\tools\burp_enterprise\self_healing.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1f67efeb\zbeF.py
MISSING	67936	0	CaseCrack\tools\burp_enterprise\agents\anthropic_patterns.py	C:\Users\ya754\AppData\Roaming\Code\User\History\382395a5\dEId.py
MISSING	66484	0	CaseCrack\tools\burp_enterprise\adversarial_validation_agent.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6bc88c04\6h2D.py
MISSING	66074	0	CaseCrack\tools\burp_enterprise\agents\llm_advanced_defense.py	C:\Users\ya754\AppData\Roaming\Code\User\History\21393466\uiau.py
MISSING	64681	0	CaseCrack\_write_agent_roles.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-56064e9e\Mn7y.py
MISSING	62476	0	CaseCrack\tools\burp_enterprise\recon_dashboard\remediation_validation.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-63d2beac\baVx.py
MISSING	62409	0	CaseCrack\tools\burp_enterprise\exploit_chains\deep_audit_harness.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3960351a\XyBx.py
MISSING	62152	0	CaseCrack\tools\burp_enterprise\exploit_chains\reality_gap_harness.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-f52d85d\usQH.py
MISSING	60939	0	CaseCrack\tools\burp_enterprise\adaptive_exploration_policy.py	C:\Users\ya754\AppData\Roaming\Code\User\History\45ab0925\tJcN.py
MISSING	60231	0	CaseCrack\tools\burp_enterprise\graph\nodes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\148e850c\RY4V.py
MISSING	59167	0	CaseCrack\tools\burp_enterprise\persona_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1110e4c3\qL4o.py
MISSING	58909	0	CaseCrack\tools\burp_enterprise\agents\unified_arbitration.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5ed36c21\VbjE.py
MISSING	58562	0	CaseCrack\tools\burp_enterprise\recon_dashboard\exploit_persistence_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-e327fcf\Jk20.py
MISSING	57254	0	CaseCrack\tools\burp_enterprise\agents\llm_ops.py	C:\Users\ya754\AppData\Roaming\Code\User\History\29e851d3\QTWg.py
MISSING	57252	0	CaseCrack\tools\burp_enterprise\recon_dashboard\routes_persistent_agent.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3ea4148b\Svl9.py
MISSING	55945	0	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_vuln_tools.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7db546fa\RbrS.py
MISSING	55753	0	CaseCrack\tools\burp_enterprise\target_mental_model.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3da23445\gY7p.py
MISSING	54263	0	CaseCrack\tools\burp_enterprise\xss.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2bb45ee4\J16x.py
MISSING	53930	0	CaseCrack\tools\burp_enterprise\strategic_llm_layer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-8b68a4\8rIq.py
MISSING	53812	0	CaseCrack\tools\burp_enterprise\graph\multi_agent\specialist_nodes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1bc7b6be\xo6q.py
MISSING	53753	0	CaseCrack\tools\burp_enterprise\hierarchical_decomposition.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1b72bbdf\olhY.py
MISSING	53653	0	CaseCrack\tools\burp_enterprise\tool_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7888c9ca\z00i.py
MISSING	53310	0	tests\test_llm_advanced_defense.py	C:\Users\ya754\AppData\Roaming\Code\User\History\35b5cd0f\fDr6.py
MISSING	52338	0	CaseCrack\tools\burp_enterprise\recon_dashboard\scan_mode_config.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5ede0aeb\Ye1T.py
MISSING	52085	0	CaseCrack\tools\burp_enterprise\agents\prompt_security.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-16500968\GW3t.py
MISSING	51160	0	CaseCrack\tools\burp_enterprise\recon_dashboard\benchmark_tracker.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1be016b1\TUoF.py
MISSING	50840	0	CaseCrack\tools\burp_enterprise\agents\copilot_sdk_agents.py	C:\Users\ya754\AppData\Roaming\Code\User\History\67442ff5\SDR1.py
MISSING	50440	0	CaseCrack\tools\burp_enterprise\agents\rag_context.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-56689755\RCci.py
MISSING	49950	0	CaseCrack\tools\burp_enterprise\recon_dashboard\system_health.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-158f4585\wxT9.py
MISSING	49317	0	CaseCrack\tools\burp_enterprise\memory_control.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5831113\0MOV.py
MISSING	49014	0	tests\test_strategic_llm_layer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\68d3470a\RvEX.py
MISSING	48880	0	CaseCrack\tools\burp_enterprise\agents\llm_tracking.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2ffaaa52\Zeez.py
MISSING	48433	0	CaseCrack\tools\burp_enterprise\exploit_chains\audit_pyramid.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6b3bcdcf\SOwl.py
MISSING	48418	0	CaseCrack\tools\burp_enterprise\frontier_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-18b4bd5\fvdi.py
MISSING	47718	0	CaseCrack\tools\burp_enterprise\verification_chain.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-275084ab\xbKn.py
MISSING	47653	0	CaseCrack\tools\burp_enterprise\database\pg_schema.py	C:\Users\ya754\AppData\Roaming\Code\User\History\359a069d\fnov.py
MISSING	46973	0	CaseCrack\tools\burp_enterprise\exploit_chains\integration_audit.py	C:\Users\ya754\AppData\Roaming\Code\User\History\8127c8b\Q7gz.py
MISSING	46602	0	CaseCrack\tools\burp_enterprise\graph\reasoning\nodes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7a49c15d\hppN.py
MISSING	46309	0	tests\test_lookahead_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\132246e5\JuI6.py
MISSING	45827	0	CaseCrack\tools\burp_enterprise\symbolic_fallback.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bfb3833\OC0A.py
MISSING	45719	0	tests\test_llm_output_guard.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-2bc8aeb5\WzJ5.py
MISSING	45178	0	CaseCrack\tools\burp_enterprise\agents\ab_testing.py	C:\Users\ya754\AppData\Roaming\Code\User\History\31a47289\TED4.py
MISSING	44433	0	CaseCrack\tools\burp_enterprise\prompt_registry.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-63c8947c\q7dO.py
MISSING	44260	0	CaseCrack\tools\burp_enterprise\agents\native_tool_calling.py	C:\Users\ya754\AppData\Roaming\Code\User\History\25806bce\5YIi.py
MISSING	43860	0	CaseCrack\tools\burp_enterprise\decision_trace.py	C:\Users\ya754\AppData\Roaming\Code\User\History\46261730\HsHg.py
MISSING	43583	0	CaseCrack\tools\burp_enterprise\mcp\cognitive_bridge.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-5f3ad371\54i4.py
MISSING	43521	0	CaseCrack\tools\burp_enterprise\architecture_evolver.py	C:\Users\ya754\AppData\Roaming\Code\User\History\434b7d09\bR37.py
MISSING	43328	0	CaseCrack\tools\burp_enterprise\agents\llm_routing.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-619bfc1\QOuk.py
MISSING	42865	0	CaseCrack\tools\burp_enterprise\decision_plane.py	C:\Users\ya754\AppData\Roaming\Code\User\History\69d702b9\K5KG.py
