hits	size	module	relpath	snapshot	samples
5	255150	tools.burp_enterprise.recon_dashboard	CaseCrack\tools\burp_enterprise\recon_dashboard.py	C:\Users\ya754\AppData\Roaming\Code\User\History\417a6ff8\HZZz.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tools\burp_enterprise\exploit_chains\recon_dashboard.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tools\burp_enterprise\recon_dashboard\findings_store.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tools\burp_enterprise\recon_dashboard\__init__.py
5	222052	tools.burp_enterprise.compliance	CaseCrack\tools\burp_enterprise\compliance.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4d6d17\wdcY.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tools\burp_enterprise\core_infra\compliance_pkg.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tools\burp_enterprise\misc\compliance_mapper.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tools\burp_enterprise\output\compliance_pkg\data.py
5	154964	tools.burp_enterprise.loop.autonomous_loop	CaseCrack\tools\burp_enterprise\loop\autonomous_loop.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5a3c7faa\VdtT.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adversarial_upgrades.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_autonomous_loop.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_elite_upgrades.py
5	75312	tools.burp_enterprise.exploit_chains.system_audit_harness	CaseCrack\tools\burp_enterprise\exploit_chains\system_audit_harness.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4a7d40c9\Sh1o.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_audit_pyramid.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_decision_framework.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_deep_audit_harness.py
5	27099	tools.burp_enterprise.loop.ai_directed_executor	CaseCrack\tools\burp_enterprise\loop\ai_directed_executor.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-158d7ee2\2gXr.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adversarial_upgrades.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_autonomous_loop.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_elite_upgrades.py
5	8627	tools.burp_enterprise.loop.world_state	CaseCrack\tools\burp_enterprise\loop\world_state.py	C:\Users\ya754\AppData\Roaming\Code\User\History\15a7a579\gKj4.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adversarial_upgrades.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_autonomous_loop.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_elite_upgrades.py
5	7543	tools.burp_enterprise.loop.loop_config	CaseCrack\tools\burp_enterprise\loop\loop_config.py	C:\Users\ya754\AppData\Roaming\Code\User\History\54446740\YaLz.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adversarial_upgrades.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_autonomous_loop.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_elite_upgrades.py
3	60939	tools.burp_enterprise.adaptive_exploration_policy	CaseCrack\tools\burp_enterprise\adaptive_exploration_policy.py	C:\Users\ya754\AppData\Roaming\Code\User\History\45ab0925\tJcN.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adaptive_exploration.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_commercial_autonomous_gaps.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_organism_health_gaps.py
3	22281	tools.burp_enterprise.phase_priority_queue	CaseCrack\tools\burp_enterprise\phase_priority_queue.py	C:\Users\ya754\AppData\Roaming\Code\User\History\f275d18\iyE0.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adaptive_exploration.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_commercial_autonomous_gaps.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_organism_health_gaps.py
2	48433	tools.burp_enterprise.exploit_chains.audit_pyramid	CaseCrack\tools\burp_enterprise\exploit_chains\audit_pyramid.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6b3bcdcf\SOwl.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_audit_pyramid.py|c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_decision_framework.py
